date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:50	20/20	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:49%20GMT	http://www.ericryananderson.com/robots.txt		(from )
20:07:50	31813/31813	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:50%20GMT	http://www.ericryananderson.com/	C:/My%20Web%20Sites/Website/www.ericryananderson.com/index.html	(from )
20:07:50	45690/45690	---M-Z	200	added ('OK')	text/css	etag:%22b27a-56ab020d0e6db%22	http://www.ericryananderson.com/css/styles.css?v=1153219623	C:/My%20Web%20Sites/Website/www.ericryananderson.com/css/styles2f5c.css	(from http://www.ericryananderson.com/)
20:07:50	28032/28032	---M-Z	200	added ('OK')	text/css	etag:%226d80-56996d6c85ad2%22	http://www.ericryananderson.com/css/styles_mobile.css?v=312126616	C:/My%20Web%20Sites/Website/www.ericryananderson.com/css/styles_mobile3c9f.css	(from http://www.ericryananderson.com/)
20:07:51	19757/19757	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2010%20Aug%202018%2000:07:50%20GMT	http://use.typekit.net/szb5mqd.js	C:/My%20Web%20Sites/Website/use.typekit.net/szb5mqd.js	(from http://www.ericryananderson.com/)
20:07:52	37614/37614	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:51%20GMT	http://www.ericryananderson.com/grid/overview	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/overview.html	(from http://www.ericryananderson.com/)
20:07:52	60919/60919	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:52%20GMT	http://www.ericryananderson.com/grid/portrait	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/portrait.html	(from http://www.ericryananderson.com/)
20:07:53	10335/10335	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Apr%202018%2016:45:57%20GMT	http://ericryananderson.imgix.net/567_era_full_whitepng.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/567_era_full_whitepng.png	(from http://www.ericryananderson.com/)
20:07:53	45366/45366	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:52%20GMT	http://www.ericryananderson.com/grid/sports	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/sports.html	(from http://www.ericryananderson.com/)
20:07:53	40305/40305	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:53%20GMT	http://www.ericryananderson.com/grid/lifestyle	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/lifestyle.html	(from http://www.ericryananderson.com/)
20:07:53	27385/27385	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:53%20GMT	http://www.ericryananderson.com/p/projects	C:/My%20Web%20Sites/Website/www.ericryananderson.com/p/projects.html	(from http://www.ericryananderson.com/)
20:07:53	28422/28422	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:53%20GMT	http://www.ericryananderson.com/motion	C:/My%20Web%20Sites/Website/www.ericryananderson.com/motion.html	(from http://www.ericryananderson.com/)
20:07:54	12586/12586	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Apr%202018%2016:51:58%20GMT	http://ericryananderson.imgix.net/583_era_full_blackpng.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/583_era_full_blackpng.png	(from http://www.ericryananderson.com/)
20:07:54	56272/56272	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:54%20GMT	http://www.ericryananderson.com/grid/multi-platform	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/multi-platform.html	(from http://www.ericryananderson.com/)
20:07:54	38641/38641	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:54%20GMT	http://www.ericryananderson.com/grid/fashion	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/fashion.html	(from http://www.ericryananderson.com/)
20:07:55	11438/11438	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:54%20GMT	http://www.ericryananderson.com/info	C:/My%20Web%20Sites/Website/www.ericryananderson.com/info.html	(from http://www.ericryananderson.com/)
20:07:55	27822/27822	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:55%20GMT	http://www.ericryananderson.com/slideshow/projects	C:/My%20Web%20Sites/Website/www.ericryananderson.com/slideshow/projects.html	(from http://www.ericryananderson.com/)
20:07:55	1113/1113	---M--	200	added ('OK')	image/png	etag:%22459-52a7c831c85ef%22	http://www.ericryananderson.com/images/icon-slideshow.png	C:/My%20Web%20Sites/Website/www.ericryananderson.com/images/icon-slideshow.png	(from http://www.ericryananderson.com/)
20:07:56	29517/29517	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:55%20GMT	http://www.ericryananderson.com/grid/projects	C:/My%20Web%20Sites/Website/www.ericryananderson.com/grid/projects.html	(from http://www.ericryananderson.com/)
20:07:56	34375/34375	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:56%20GMT	http://www.ericryananderson.com/scroll/projects	C:/My%20Web%20Sites/Website/www.ericryananderson.com/scroll/projects.html	(from http://www.ericryananderson.com/)
20:07:57	54193/54193	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:56%20GMT	http://www.ericryananderson.com/project/gamechanger	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/gamechanger.html	(from http://www.ericryananderson.com/)
20:07:57	28487/28487	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:07:57%20GMT	http://www.ericryananderson.com/project-grid/seatgeek	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/seatgeek.html	(from http://www.ericryananderson.com/)
20:07:59	16201/16201	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2017:00:36%20GMT	http://ericryananderson.imgix.net/siteGray/570_era_gc2018_001.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_era_gc2018_001.png	(from http://www.ericryananderson.com/)
20:08:00	14277/14277	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2022:02:19%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_sg_pdx_6193-copy.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_sg_pdx_6193-copy.png	(from http://www.ericryananderson.com/)
20:08:00	23910/23910	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:08:00%20GMT	http://www.ericryananderson.com/project/next-gen	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/next-gen.html	(from http://www.ericryananderson.com/)
